invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,date,time,payment_method,rating
347-34-2234,B,Los Angeles,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40:00,Ewallet,10
199-75-8169,A,San Diego,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27:00,Credit card,8.6
853-23-2453,A,Phoenix,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35:00,Cash,7.6
877-22-3308,B,Houston,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40:00,Cash,5.8
838-78-4295,B,Philadelphia,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43:00,Ewallet,6.7
109-28-2512,D,Phoenix,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01:00,Ewallet,9.9
232-11-3025,A,San Jose,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00,Cash,6.4
382-03-4532,C,New York,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50:00,Cash,4.3
393-65-2792,D,Philadelphia,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00,Credit card,9.6
796-12-2025,B,San Jose,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19:00,Cash,5.9
510-95-6347,C,New York,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17:00,Ewallet,4
841-35-6630,A,San Diego,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21:00,Cash,8.7
287-21-9091,B,Dallas,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00,Ewallet,9.4
732-94-0499,E,Dallas,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04:00,Credit card,5.4
263-10-3913,E,Philadelphia,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20:00,Credit card,8.6
381-20-0914,D,Phoenix,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48:00,Credit card,5.7
829-49-1914,E,Phoenix,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24:00,Ewallet,6.6
756-01-7507,B,Houston,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56:00,Cash,6
870-72-4431,A,Phoenix,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42:00,Credit card,5.5
847-38-7188,C,San Antonio,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56:00,Ewallet,6.4
480-63-2856,D,Houston,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37:00,Ewallet,6.6
787-56-0757,D,Philadelphia,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45:00,Credit card,8.3
360-39-5055,C,Phoenix,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00,Cash,6.6
730-50-9884,C,Phoenix,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31:00,Ewallet,4
362-58-8315,A,Philadelphia,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00,Cash,9.9
633-44-8566,E,Los Angeles,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35:00,Credit card,7.3
504-35-8843,A,Philadelphia,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57:00,Cash,5.7
318-68-5053,A,Philadelphia,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55:00,Cash,6.1
565-80-5980,C,San Antonio,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00,Cash,7.1
225-32-0908,B,Houston,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,8.2
873-51-0671,A,New York,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42:00,Ewallet,5.1
152-08-9985,E,Houston,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00,Credit card,8.6
512-91-0811,A,San Diego,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05:00,Credit card,6.6
594-34-4444,B,Los Angeles,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38:00,Ewallet,7.2
766-85-7061,A,Chicago,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00,Ewallet,5.1
871-39-9221,B,Chicago,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11:00,Cash,4.1
865-92-6136,E,Philadelphia,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16:00,Ewallet,9.3
733-01-9107,D,Los Angeles,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14:00,Cash,7.4
163-56-7055,E,San Antonio,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20:00,Cash,4.1
189-98-2939,C,San Jose,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,7.2
551-21-3069,B,San Diego,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00,Cash,4.9
212-62-1842,E,New York,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44:00,Cash,9.9
716-39-1409,A,San Jose,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19:00,Cash,8
704-48-3927,E,Dallas,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50:00,Ewallet,7.3
628-34-3388,B,Los Angeles,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54:00,Credit card,7.9
630-74-5166,B,New York,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19:00,Cash,7.4
588-01-7461,D,San Antonio,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00,Cash,4.2
861-77-0145,E,Houston,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30:00,Cash,9.2
479-26-8945,C,San Diego,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32:00,Ewallet,4.6
210-67-5886,D,Philadelphia,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00,Credit card,7.8
227-78-1148,D,San Jose,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00,Cash,8.4
645-44-1170,C,Chicago,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07:00,Ewallet,4.3
237-01-6122,C,Dallas,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,9.5
225-98-1496,E,San Diego,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01:00,Credit card,7.1
291-32-1427,C,San Jose,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29:00,Ewallet,5.3
659-65-8956,E,Philadelphia,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26:00,Ewallet,5.2
642-32-2990,B,San Diego,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48:00,Ewallet,6
378-24-2715,B,Philadelphia,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38:00,Ewallet,4.1
638-60-7125,C,San Diego,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03:00,Credit card,5.2
659-36-1684,C,Phoenix,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02:00,Credit card,6.5
219-22-9386,D,Philadelphia,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26:00,Credit card,4.2
336-78-2147,A,Chicago,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52:00,Credit card,4.6
268-27-6179,D,Los Angeles,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57:00,Ewallet,7.3
668-90-8900,A,San Diego,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44:00,Credit card,4.5
870-54-3162,E,San Diego,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26:00,Cash,9
189-08-9157,C,Dallas,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17:00,Credit card,5.9
663-86-9076,A,Philadelphia,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57:00,Ewallet,8.5
549-84-7482,D,San Jose,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00,Ewallet,7.2
191-10-6171,D,San Jose,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18:00,Cash,7.5
802-70-5316,E,San Antonio,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34:00,Cash,8.3
695-51-0018,A,San Antonio,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36:00,Cash,7.4
590-83-4591,E,Houston,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40:00,Credit card,8.8
483-71-1164,C,San Diego,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43:00,Ewallet,5.3
597-78-7908,B,San Diego,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39:00,Cash,6.2
700-81-1757,B,Dallas,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59:00,Credit card,8.8
354-39-5160,B,Chicago,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39:00,Cash,9.8
241-72-9525,B,San Diego,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21:00,Cash,8.2
575-30-8091,A,Los Angeles,Normal,Male,Sports and travel,72.5,8,29,609,2019-03-16,19:25:00,Ewallet,9.2
731-81-9469,D,Chicago,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00:00,Credit card,5.4
280-17-4359,A,San Jose,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48:00,Cash,8.1
338-65-2210,B,San Jose,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57:00,Cash,9.1
488-25-4221,C,New York,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36:00,Credit card,8.4
239-10-7476,D,Chicago,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37:00,Ewallet,8
458-41-1477,A,Phoenix,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11:00,Credit card,9.5
685-64-1609,A,San Diego,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28:00,Ewallet,9.2
568-90-5112,C,Chicago,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46:00,Credit card,5.6
262-47-2794,D,Chicago,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07:00,Credit card,6.2
238-49-0436,A,Los Angeles,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,13:48:00,Credit card,4.9
608-96-3517,A,San Antonio,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,19:20:00,Credit card,4.8
584-86-7256,C,San Diego,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,16:07:00,Credit card,7.3
746-94-0204,E,San Diego,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56:00,Credit card,7.4
214-17-6927,B,San Diego,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,18:23:00,Ewallet,9.9
400-89-4171,C,San Antonio,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,13:05:00,Cash,9.3
782-95-9291,E,Phoenix,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,15:55:00,Credit card,9
279-74-2924,E,San Diego,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,19:40:00,Cash,6.1
307-85-2293,C,Houston,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58:00,Ewallet,9.7
743-04-1105,A,Phoenix,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,14:43:00,Ewallet,6
423-57-2993,C,Los Angeles,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,19:18:00,Ewallet,10
894-41-5205,C,San Jose,Normal,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,19:39:00,Credit card,8.3
275-28-0149,E,San Antonio,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,16:21:00,Cash,6
101-17-6199,D,New York,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,19:44:00,Credit card,7
423-80-0988,E,Phoenix,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,19:42:00,Ewallet,6.5
548-46-9322,B,Chicago,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,15:24:00,Credit card,5.9
505-02-0892,D,New York,Member,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,14:12:00,Ewallet,5.6
234-65-2137,C,Chicago,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,13:32:00,Cash,4.8
687-47-8271,E,Houston,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,16:20:00,Credit card,8.7
796-32-9050,C,San Diego,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,16:31:00,Cash,6.5
105-31-1824,C,Houston,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,15:10:00,Credit card,8.5
249-42-3782,E,Chicago,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,11:36:00,Ewallet,5.5
316-55-4634,C,New York,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,12:45:00,Credit card,9.4
733-33-4967,E,Chicago,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,19:17:00,Cash,6.3
608-27-6295,E,San Diego,Member,Male,Electronic accessories,52.89,6,15.867,333.207,2019-01-19,17:34:00,Credit card,9.8
414-12-7047,D,Phoenix,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,12:04:00,Ewallet,8.7
827-26-2100,E,Chicago,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,2019-03-21,16:21:00,Ewallet,8.8
175-54-2529,D,Philadelphia,Member,Male,Food and beverages,22.17,8,8.868,186.228,2019-03-03,17:01:00,Credit card,9.6
139-52-2867,D,Chicago,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,2019-02-13,10:50:00,Credit card,4.8
407-63-8975,D,Phoenix,Normal,Male,Food and beverages,73.88,6,22.164,465.444,2019-03-23,19:16:00,Ewallet,4.4
342-65-4817,D,Houston,Member,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,16:47:00,Ewallet,9.9
130-98-8941,C,San Diego,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2019-02-09,10:00:00,Cash,5.7
434-83-9547,D,San Jose,Member,Male,Food and beverages,38.47,8,15.388,323.148,2019-01-23,11:51:00,Cash,7.7
851-28-6367,C,Houston,Member,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,10:55:00,Ewallet,8
824-88-3614,D,Houston,Normal,Male,Health and beauty,34.31,8,13.724,288.204,2019-01-25,15:00:00,Ewallet,5.7
586-25-0848,D,New York,Normal,Female,Sports and travel,12.34,7,4.319,90.699,2019-03-04,11:19:00,Credit card,6.7
895-66-0685,D,San Diego,Member,Male,Food and beverages,18.08,3,2.712,56.952,2019-03-05,19:46:00,Ewallet,8
305-14-0245,C,Chicago,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,19:00:00,Ewallet,7.5
732-04-5373,C,Los Angeles,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2019-02-08,10:53:00,Cash,7
400-60-7251,E,Chicago,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2019-02-10,12:50:00,Ewallet,9.9
593-65-1552,E,San Antonio,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,2019-01-28,20:50:00,Credit card,5.9
284-34-9626,C,San Antonio,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,2019-02-11,10:39:00,Credit card,7.2
437-58-8131,C,Philadelphia,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,13:41:00,Ewallet,4.6
286-43-6208,D,Chicago,Normal,Female,Food and beverages,87.8,9,39.51,829.71,2019-03-16,19:08:00,Cash,9.2
641-43-2399,C,Philadelphia,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,20:23:00,Ewallet,5.7
831-07-6050,C,San Diego,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,2019-03-19,11:30:00,Credit card,9.9
556-86-3144,D,San Jose,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,2019-01-13,19:30:00,Cash,5
848-24-9445,C,New York,Member,Male,Health and beauty,43.7,2,4.37,91.77,2019-03-26,18:03:00,Cash,4.9
856-22-8149,E,San Jose,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,2019-03-23,10:13:00,Ewallet,6.1
699-01-4164,E,Phoenix,Normal,Male,Health and beauty,41.5,4,8.3,174.3,2019-03-12,19:58:00,Credit card,8.2
420-11-4919,C,Los Angeles,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,2019-02-17,19:57:00,Credit card,5.5
606-80-4905,C,San Jose,Member,Female,Sports and travel,19.15,6,5.745,120.645,2019-01-29,10:01:00,Credit card,6.8
542-41-0513,D,Dallas,Member,Female,Electronic accessories,57.49,4,11.498,241.458,2019-03-15,11:57:00,Cash,6.6
426-39-2418,C,New York,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,2019-01-14,10:02:00,Cash,9.8
875-46-5808,D,Dallas,Member,Male,Health and beauty,25.9,10,12.95,271.95,2019-02-06,14:51:00,Ewallet,8.7
394-43-4238,D,Houston,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,2019-02-15,12:42:00,Credit card,5.4
749-24-1565,D,New York,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2019-01-03,12:02:00,Ewallet,7.9
672-51-8681,E,San Jose,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,18:19:00,Credit card,9.7
263-87-5680,C,San Diego,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,2019-03-18,17:38:00,Ewallet,7.8
573-58-9734,E,Phoenix,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,2019-03-28,13:41:00,Ewallet,5.1
817-69-8206,C,Philadelphia,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,2019-03-02,19:42:00,Credit card,6.5
888-02-0338,D,Houston,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,2019-01-25,20:24:00,Ewallet,5.9
677-11-0152,D,Phoenix,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,18:08:00,Cash,8.8
142-63-6033,C,San Diego,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,2019-03-20,19:17:00,Ewallet,4.9
656-16-1063,C,Philadelphia,Normal,Male,Sports and travel,46.42,3,6.963,146.223,2019-01-04,13:24:00,Credit card,4.4
